token;tag;wordnet
atera;O;
dugun;O;
,;O;
prest;O;
eduki;O;
behar_izan;O;
*edun;O;
zuringo;B-IN-E-AE;ili-30-07841037-n
eta;O;
glas;B-IN-SU;
azukre;I-IN-SU;ili-30-07859284-n
egin;O;
nahasketa;O;
,;O;
eta;O;
pintzel;O;
bat;O;
laguntza;O;
jarri;O;
*edun;O;
opil;B-R;ili-30-07628870-n
gain;O;
.;O;
ez;O;
ukan;O;
ezer;O;
gehiago;O;
behar_izan;O;
.;O;
opilari;B-R;ili-30-07628870-n
izen;O;
jarri;O;
ohitura;O;
izan;O;
izan;O;
,;O;
opil;B-R;ili-30-07628870-n
gain;O;
,;O;
txokolate;B-IN-O;ili-30-07601999-n
izen;O;
jarri;O;
.;O;
nahi;O;
*edun;O;
jarri;O;
*ezan;O;
:;O;
geu;O;
,;O;
etxe;O;
denen;O;
...;O;
eta;O;
marrazki;O;
ere;O;
egin;O;
*edin;O;
,;O;
jakina;O;
!;O;
pizz;B-R;"
ili-30-07873807-n"
zartagin;B-E-U;ili-30-03880531-n
osagai;O;
guzti;O;
prest;O;
eduki;O;
40;O;
bat;O;
minutu;O;
gertu;O;
izan;O;
*edun;O;
etxe;O;
egin;O;
pizza;B-R;ili-30-07873807-n
gozo;O;
.;O;
dakiukan;O;
modu;O;
aska;O;
osagai;O;
egin;O;
*edin;O;
pizza;B-R;ili-30-07873807-n
bat;O;
.;O;
gu;O;
txorizo;B-IN-M-AM;ili-30-07676520-n
aukeratu;O;
*edun;O;
,;O;
baina;O;
nor;O;
bera;O;
gustuko;O;
zapore;O;
aukeratu;O;
beste;O;
ez;O;
ukan;O;
!;O;
osagaia;O;
150;O;
gr.;O;
ga;O;
irina.;I-IN-D-AG;ili-30-07569106-n
koilaratxo;O;
erdi;O;
legamia.;B-IN-BP-AG;ili-30-14934031-n
bi;O;
arrautza;B-IN-E-AE;ili-30-07840804-n
.;O;
20;O;
gr.;O;
oliba;B-IN-FO;ili-30-07767344-n
olio;I-IN-FO;ili-30-07673397-n
(;O;
bi;O;
koilarakada;O;
zartaginerako;B-E-U;ili-30-03880531-n
);O;
.;O;
gatz;B-IN-HS;ili-30-07813107-n
pitin;O;
bat+garren!;O;
tomate;B-IN-FV;ili-30-07734017-n
frijitu;O;
.;O;
10;O;
gr;O;
mozzarella;B-IN-M-AM;ili-30-07854184-n
birrinduta.;O;
oregano;B-IN-HS;ili-30-07818995-n
lehor;O;
.;O;
20-30;O;
gr.;O;
txorizo;B-IN-ME;ili-30-07676520-n
zati;O;
txiki;O;
.;O;
1.!;O;
lehenengo;O;
bat_egin;O;
ore;I-IN-D-AG;ili-30-07860988-n
izan;O;
.;O;
nahastu;O;
irina;B-IN-D-AG;ili-30-07569106-n
,;O;
legami;B-IN-BP-AG;ili-30-14934031-n
,;O;
arrautza;B-IN-E-AE;ili-30-07840804-n
,;O;
olio;B-IN-FO;ili-30-07673397-n
eta;O;
gatz;B-IN-HS;ili-30-07813107-n
.;O;
ore;B-IN-D-AG;ili-30-07860988-n
uniforme;O;
bat;O;
lortu;O;
arte;O;
nahastu;O;
eta;O;
prest;O;
egon;O;
pilota;O;
forma;O;
eman;O;
.;O;
2.;O;
tu;O;
irin;I-IN-D-AG;ili-30-07569106-n
apur;O;
bat;O;
mahai;O;
bat;O;
gain;O;
eta;O;
arrabola;B-E-U;ili-30-04103206-n
bat;O;
laguntza;O;
ondo;O;
zabaldu;O;
ore;B-IN-D-AG;ili-30-07860988-n
.;O;
22;O;
bat;O;
zentimetro;O;
inguru;O;
biribil;O;
lortu;O;
behar_izan;O;
ukan;O;
.;O;
3.;O;
jarri;O;
neurri;O;
bera;O;
zartagin;B-E-U;ili-30-03880531-n
bat;O;
su;O;
eta;O;
gehitu;O;
bi;O;
koilarakada;O;
olio;B-IN-FO;ili-30-07673397-n
.;O;
sartu;O;
prestatuta;O;
ore;B-IN-D-AG;ili-30-07860988-n
bertan;O;
,;O;
estali;O;
tapa;B-E-U;ili-30-03661340-n
bat;O;
eta;O;
utzi;O;
su;O;
ertain;O;
hamar;O;
bat;O;
minutu;O;
.;O;
4.;O;
amaitu;O;
eman;O;
buelta_eman;O;
pizza;B-R;ili-30-07873807-n
oinarri;O;
eta;O;
bota;O;
tomate;B-R;ili-30-07734017-n
frijitu;I-R;ili-30-00617422-a
.;O;
ondoren;O;
,;O;
mozzarella;B-IN-M-AM;ili-30-07854184-n
eta;O;
oregano;B-IN-HS;ili-30-07818995-n
.;O;
azkenik;O;
,;O;
gehitu;O;
txorizo;B-IN-ME;ili-30-07676520-n
eta;O;
jarri;O;
berriz;O;
ere;O;
tapa;B-E-U;ili-30-03661340-n
beste;O;
20;O;
minutu;O;
sutan;O;
egon;O;
.;O;
5.;O;
pizza;B-R;ili-30-07873807-n
prest;O;
egon;O;
.;O;
jate;O;
beste;O;
ez;O;
izan;O;
gelditu;O;
.;O;
argazki;O;
iturri;O;
:;O;
vita;O;
marija;O;
murenaite;O;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
